time,light
0,97.52
1,101.2
2,97.52
3,97.52
4,97.52
5,97.52
6,97.52
7,97.52
8,97.52
9,97.52
10,97.52
11,97.52
12,97.52
13,97.52
14,97.52
15,97.52
16,97.52
17,97.52
18,97.52
19,97.52
20,97.52
21,97.52
22,97.52
23,97.52
24,97.52
25,97.52
26,97.52
27,97.52
28,97.52
29,97.52
30,97.52
31,97.52
32,97.52
33,97.52
34,97.52
35,97.52
36,97.52
37,97.52
38,97.52
39,97.52
40,97.52
41,97.52
42,97.52
43,97.52
44,97.52
45,97.52
46,97.52
47,97.52
48,97.52
49,97.52
50,97.52
51,97.52
52,97.52
53,97.52
54,97.52
55,97.52
56,97.52
57,97.52
58,97.52
59,97.52
60,97.52
61,97.52
62,97.52
63,97.52
64,97.52
65,97.52
66,97.52
67,97.52
68,97.52
69,97.52
70,97.52
71,97.52
72,97.52
73,97.52
74,97.52
75,97.52
76,97.52
77,97.52
78,97.52
79,97.52
80,97.52
81,97.52
82,97.52
83,97.52
84,97.52
85,97.52
86,97.52
87,97.52
88,97.52
89,97.52
90,97.52
91,97.52
92,97.52
93,97.52
94,97.52
95,97.52
96,97.52
97,97.52
98,97.52
99,97.52
100,97.52
101,97.52
102,97.52
103,97.52
104,97.52
105,97.52
106,97.52
107,97.52
108,97.52
109,97.52
110,97.52
111,97.52
112,97.52
113,97.52
114,97.52
115,97.52
116,97.52
117,97.52
118,97.52
119,97.52
120,97.52
121,97.52
122,97.52
123,97.52
124,97.52
125,97.52
126,97.52
127,97.52
128,97.52
129,97.52
130,97.52
131,97.52
132,97.52
133,97.52
134,97.52
135,97.52
136,97.52
137,97.52
138,97.52
139,97.52
140,97.52
141,97.52
142,97.52
143,97.52
144,97.52
145,97.52
146,97.52
147,97.52
148,97.52
149,97.52
150,97.52
151,97.52
152,97.52
153,97.52
154,97.52
155,97.52
156,97.52
157,97.52
158,97.52
159,97.52
160,97.52
161,97.52
162,97.52
163,97.52
164,97.52
165,97.52
166,97.52
167,97.52
168,97.52
169,97.52
170,97.52
171,97.52
172,97.52
173,97.52
174,97.52
175,97.52
176,97.52
177,97.52
178,97.52
179,97.52
180,97.52
181,97.52
182,97.52
183,97.52
184,97.52
185,97.52
186,97.52
187,97.52
188,97.52
189,97.52
190,97.52
191,97.52
192,97.52
193,97.52
194,97.52
195,97.52
196,97.52
197,97.52
198,97.52
199,97.52
200,97.52
201,97.52
202,97.52
203,97.52
204,97.52
205,97.52
206,97.52
