time,value
0,85.5
1,88.2
2,88.9
3,88.9
4,88.9
5,87.8
6,88.3
7,87.8
8,87.2
9,87.8
10,89.60000000000002
11,88.1
12,88.3
13,88.4
14,87.9
15,87.9
16,89.0
17,88.5
18,88.2
19,86.5
20,88.2
21,88.6
22,90.6
23,88.1
24,88.6
25,88.0
26,87.0
27,88.8
28,88.3
29,87.6
30,88.8
31,89.60000000000002
32,88.4
33,87.0
34,87.6
35,87.8
36,87.9
37,88.4
38,85.9
39,87.8
40,88.2
41,86.5
42,87.1
43,85.5
44,83.89999999999998
45,86.1
46,83.6
47,82.39999999999998
48,84.3
49,83.39999999999998
50,83.6
51,81.89999999999998
52,79.3
53,80.2
54,79.0
55,79.60000000000002
56,83.5
57,77.9
58,78.60000000000002
59,78.8
60,80.30000000000003
61,77.60000000000002
62,77.5
63,78.2
64,77.60000000000002
65,77.4
66,79.4
67,78.7
68,80.30000000000003
69,77.9
70,77.0
71,80.80000000000003
72,81.2
73,80.60000000000002
74,78.0
75,78.7
76,78.4
77,79.80000000000003
78,78.9
79,77.7
80,80.80000000000003
81,79.9
82,82.3
83,81.0
84,80.5
85,81.39999999999998
86,81.5
87,79.9
88,81.89999999999998
89,82.8
90,81.0
91,80.10000000000002
92,83.2
93,81.89999999999998
94,82.0
95,80.10000000000002
96,81.0
97,82.0
98,82.19999999999997
99,83.5
100,85.5
101,88.2
102,88.9
103,88.9
104,88.9
105,87.8
106,88.3
107,87.8
108,87.2
109,87.8
110,89.60000000000002
111,88.1
112,88.3
113,88.4
114,87.9
115,87.9
116,89.0
117,88.5
118,88.2
119,86.5
120,88.2
121,88.6
122,90.6
123,88.1
124,88.6
125,88.0
126,87.0
127,88.8
128,88.3
129,87.6
130,88.8
131,89.60000000000002
132,88.4
133,87.0
134,87.6
135,87.8
136,87.9
137,88.4
138,85.9
139,87.8
140,88.2
141,86.5
142,87.1
143,85.5
144,83.89999999999998
145,86.1
146,83.6
147,82.39999999999998
148,84.3
149,83.39999999999998
150,83.6
151,81.89999999999998
152,79.3
153,80.2
154,79.0
155,79.60000000000002
156,83.5
157,77.9
158,78.60000000000002
159,78.8
160,80.30000000000003
161,77.60000000000002
162,77.5
163,78.2
164,77.60000000000002
165,77.4
166,79.4
167,78.7
168,80.30000000000003
169,77.9
170,77.0
171,80.80000000000003
172,81.2
173,80.60000000000002
174,78.0
175,78.7
176,78.4
177,79.80000000000003
178,78.9
179,77.7
180,80.80000000000003
181,79.9
182,82.3
183,81.0
184,80.5
185,81.39999999999998
186,81.5
187,79.9
188,81.89999999999998
189,82.8
190,81.0
191,80.10000000000002
192,83.2
193,81.89999999999998
194,82.0
195,80.10000000000002
196,81.0
197,82.0
198,82.19999999999997
199,83.5
200,85.5
201,88.2
202,88.9
203,88.9
204,88.9
205,87.8
206,88.3
207,87.8
208,87.2
209,87.8
210,89.60000000000002
211,88.1
212,88.3
213,88.4
214,87.9
215,87.9
216,89.0
217,88.5
218,88.2
219,86.5
220,88.2
221,88.6
222,90.6
223,88.1
224,88.6
225,88.0
226,87.0
227,88.8
228,88.3
229,87.6
230,88.8
231,89.60000000000002
232,88.4
233,87.0
234,87.6
235,87.8
236,87.9
237,88.4
238,85.9
239,87.8
240,88.2
241,86.5
242,87.1
243,85.5
244,83.89999999999998
245,86.1
246,83.6
247,82.39999999999998
248,84.3
249,83.39999999999998
250,83.6
251,81.89999999999998
252,79.3
253,80.2
254,79.0
255,79.60000000000002
256,83.5
257,77.9
258,78.60000000000002
259,78.8
260,80.30000000000003
261,77.60000000000002
262,77.5
263,78.2
264,77.60000000000002
265,77.4
266,79.4
267,78.7
268,80.30000000000003
269,77.9
270,77.0
271,80.80000000000003
272,81.2
273,80.60000000000002
274,78.0
275,78.7
276,78.4
277,79.80000000000003
278,78.9
279,77.7
280,80.80000000000003
281,79.9
282,82.3
283,81.0
284,80.5
285,81.39999999999998
286,81.5
287,79.9
288,81.89999999999998
289,82.8
290,81.0
291,80.10000000000002
292,83.2
293,81.89999999999998
294,82.0
295,80.10000000000002
296,81.0
297,82.0
298,82.19999999999997
299,83.5
300,85.5
301,88.2
302,88.9
303,88.9
304,88.9
305,87.8
306,88.3
307,87.8
308,87.2
309,87.8
310,89.60000000000002
311,88.1
312,88.3
313,88.4
314,87.9
315,87.9
316,89.0
317,88.5
318,88.2
319,86.5
320,88.2
321,88.6
322,90.6
323,88.1
324,88.6
325,88.0
326,87.0
327,88.8
328,88.3
329,87.6
330,88.8
331,89.60000000000002
332,88.4
333,87.0
334,87.6
335,87.8
336,87.9
337,88.4
338,85.9
339,87.8
340,88.2
341,86.5
342,87.1
343,85.5
344,83.89999999999998
345,86.1
346,83.6
347,82.39999999999998
348,84.3
349,83.39999999999998
350,83.6
351,81.89999999999998
352,79.3
353,80.2
354,79.0
355,79.60000000000002
356,83.5
357,77.9
358,78.60000000000002
359,78.8
360,80.30000000000003
361,77.60000000000002
362,77.5
363,78.2
364,77.60000000000002
365,77.4
366,79.4
367,78.7
368,80.30000000000003
369,77.9
370,77.0
371,80.80000000000003
372,81.2
373,80.60000000000002
374,78.0
375,78.7
376,78.4
377,79.80000000000003
378,78.9
379,77.7
380,80.80000000000003
381,79.9
382,82.3
383,81.0
384,80.5
385,81.39999999999998
386,81.5
387,79.9
388,81.89999999999998
389,82.8
390,81.0
391,80.10000000000002
392,83.2
393,81.89999999999998
394,82.0
395,80.10000000000002
396,81.0
397,82.0
398,82.19999999999997
399,83.5
400,85.5
401,88.2
402,88.9
403,88.9
404,88.9
405,87.8
406,88.3
407,87.8
408,87.2
409,87.8
410,89.60000000000002
411,88.1
412,88.3
413,88.4
414,87.9
415,87.9
416,89.0
417,88.5
418,88.2
419,86.5
420,88.2
421,88.6
422,90.6
423,88.1
424,88.6
425,88.0
426,87.0
427,88.8
428,88.3
429,87.6
430,88.8
431,89.60000000000002
432,88.4
433,87.0
434,87.6
435,87.8
436,87.9
437,88.4
438,85.9
439,87.8
440,88.2
441,86.5
442,87.1
443,85.5
444,83.89999999999998
445,86.1
446,83.6
447,82.39999999999998
448,84.3
449,83.39999999999998
450,83.6
451,81.89999999999998
452,79.3
453,80.2
454,79.0
455,79.60000000000002
456,83.5
457,77.9
458,78.60000000000002
459,78.8
460,80.30000000000003
461,77.60000000000002
462,77.5
463,78.2
464,77.60000000000002
465,77.4
466,79.4
467,78.7
468,80.30000000000003
469,77.9
470,77.0
471,80.80000000000003
472,81.2
473,80.60000000000002
474,78.0
475,78.7
476,78.4
477,79.80000000000003
478,78.9
479,77.7
480,80.80000000000003
481,79.9
482,82.3
483,81.0
484,80.5
485,81.39999999999998
486,81.5
487,79.9
488,81.89999999999998
489,82.8
490,81.0
491,80.10000000000002
492,83.2
493,81.89999999999998
494,82.0
495,80.10000000000002
496,81.0
497,82.0
498,82.19999999999997
499,83.5
500,85.5
501,88.2
502,88.9
503,88.9
504,88.9
505,87.8
506,88.3
507,87.8
508,87.2
509,87.8
510,89.60000000000002
511,88.1
512,88.3
513,88.4
514,87.9
515,87.9
516,89.0
517,88.5
518,88.2
519,86.5
520,88.2
521,88.6
522,90.6
523,88.1
524,88.6
525,88.0
526,87.0
527,88.8
528,88.3
529,87.6
530,88.8
531,89.60000000000002
532,88.4
533,87.0
534,87.6
535,87.8
536,87.9
537,88.4
538,85.9
539,87.8
540,88.2
541,86.5
542,87.1
543,85.5
544,83.89999999999998
545,86.1
546,83.6
547,82.39999999999998
548,84.3
549,83.39999999999998
550,83.6
551,81.89999999999998
552,79.3
553,80.2
554,79.0
555,79.60000000000002
556,83.5
557,77.9
558,78.60000000000002
559,78.8
560,80.30000000000003
561,77.60000000000002
562,77.5
563,78.2
564,77.60000000000002
565,77.4
566,79.4
567,78.7
568,80.30000000000003
569,77.9
570,77.0
571,80.80000000000003
572,81.2
573,80.60000000000002
574,78.0
575,78.7
576,78.4
577,79.80000000000003
578,78.9
579,77.7
580,80.80000000000003
581,79.9
582,82.3
583,81.0
584,80.5
585,81.39999999999998
586,81.5
587,79.9
588,81.89999999999998
589,82.8
590,81.0
591,80.10000000000002
592,83.2
