time,value
0,7120.0
1,7380.0
2,8450.0
3,8180.0
4,7330.0
5,7490.000000000001
6,7370.0
7,7620.0
8,7700.0
9,7700.0
10,7820.0
11,7800.0
12,8130.0
13,7940.000000000001
14,8130.0
15,8239.999999999998
16,7830.0
17,8080.000000000003
18,8120.0
19,7780.0
20,7780.0
21,7740.000000000001
22,7930.0
23,7820.0
24,7980.000000000003
25,7870.0
26,8020.0
27,7970.0
28,7710.000000000002
29,7790.000000000001
30,7800.0
31,7409.999999999999
32,7750.0
33,7880.0
34,8200.0
35,8590.0
36,8189.999999999998
37,8080.000000000003
38,8020.0
39,8100.0
40,8120.0
41,8020.0
42,8080.000000000003
43,8090.000000000001
44,8230.0
45,7970.0
46,8020.0
47,7720.0
48,7740.000000000001
49,7940.000000000001
50,7780.0
51,7459.999999999999
52,7990.000000000001
53,7609.999999999999
54,8020.0
55,7530.0
56,7760.000000000002
57,7720.0
58,7730.0
59,7490.000000000001
60,7760.000000000002
61,7980.000000000003
62,7900.0
63,7880.0
64,7890.000000000001
65,7730.0
66,8060.000000000002
67,7980.000000000003
68,8100.0
69,7960.000000000002
70,7990.000000000001
71,8020.0
72,7860.000000000002
73,8269.999999999998
74,8200.0
75,8300.0
76,8300.0
77,8139.999999999998
78,8239.999999999998
79,8100.0
80,8070.0
81,8389.999999999998
82,8030.000000000003
83,8150.0
84,7970.0
85,8239.999999999998
86,8130.0
87,8040.000000000001
88,8090.000000000001
89,8020.0
90,8070.0
91,8280.0
92,8360.0
93,8330.0
94,8480.0
95,8339.999999999998
96,8489.999999999998
97,8289.999999999998
98,8210.0
99,8380.0
100,8219.999999999998
101,7850.0
102,7870.0
103,7870.0
104,8289.999999999998
105,8040.000000000001
106,7990.000000000001
107,7710.000000000002
108,7990.000000000001
109,8130.0
110,8139.999999999998
111,8250.0
112,7870.0
113,7960.000000000002
114,7910.000000000002
115,8120.0
116,8020.0
117,7880.0
118,8339.999999999998
119,8370.0
120,8389.999999999998
121,8430.0
122,8640.0
123,8400.0
124,8339.999999999998
125,8200.0
126,8489.999999999998
127,8050.0
128,8060.000000000002
129,8250.0
130,8010.000000000002
131,8120.0
132,8320.0
133,8090.000000000001
134,8040.000000000001
135,8030.000000000003
136,7840.000000000001
137,7840.000000000001
138,8030.000000000003
139,7700.0
140,7600.0
141,7740.000000000001
142,7690.000000000001
143,7760.000000000002
144,7570.0
145,7770.0
146,7630.0
147,7670.0
148,7359.999999999999
149,7509.999999999999
150,7420.0
151,7220.0
152,7450.0
153,7470.0
154,7720.0
155,7580.0
156,7780.0
157,7670.0
158,7800.0
159,7640.000000000001
160,7640.000000000001
161,7790.000000000001
162,7440.000000000001
163,7620.0
164,7530.0
165,7590.000000000001
166,7720.0
167,7680.0
168,7730.0
169,7730.0
170,7530.0
171,7700.0
172,7620.0
173,7640.000000000001
174,7720.0
175,7920.0
176,7690.000000000001
177,7810.000000000002
178,8020.0
179,8139.999999999998
180,7890.000000000001
181,8110.000000000002
182,7960.000000000002
183,7960.000000000002
184,8150.0
185,8150.0
186,8110.000000000002
187,8030.000000000003
188,8100.0
189,8350.0
190,8350.0
191,8400.0
192,8050.0
193,8550.0
194,8539.999999999998
195,8740.0
196,8650.0
197,8400.0
198,8410.0
199,8480.0
200,8439.999999999998
201,8250.0
202,8360.0
203,8500.0
204,8310.0
205,8550.0
206,8620.0
207,8610.0
208,8280.0
209,8489.999999999998
210,8580.0
211,8620.0
212,8539.999999999998
213,8700.0
214,8630.0
215,8560.0
216,8470.0
217,8470.0
218,8550.0
219,8560.0
220,8580.0
221,8470.0
222,8510.0
223,8269.999999999998
224,8420.0
225,8489.999999999998
226,8430.0
227,8280.0
228,8420.0
229,8430.0
230,8360.0
231,8590.0
232,8210.0
233,8400.0
234,8300.0
235,8380.0
236,8339.999999999998
237,8139.999999999998
238,8269.999999999998
239,8470.0
240,8370.0
241,8410.0
242,8139.999999999998
243,8430.0
244,8080.000000000003
245,7980.000000000003
246,8180.0
247,8219.999999999998
248,8130.0
249,8030.000000000003
250,7800.0
251,8339.999999999998
252,8080.000000000003
253,8060.000000000002
254,8139.999999999998
255,8130.0
256,7990.000000000001
257,7820.0
258,7950.0
259,7970.0
260,7890.000000000001
261,8060.000000000002
262,7730.0
263,7960.000000000002
264,7670.0
265,7930.0
266,7820.0
267,7930.0
268,7850.0
269,7830.0
270,8050.0
271,8030.000000000003
272,7900.0
273,7960.000000000002
274,8010.000000000002
275,7920.0
276,7750.0
277,7820.0
278,7970.0
279,7980.000000000003
280,7800.0
281,7680.0
282,7900.0
283,7760.000000000002
284,7840.000000000001
285,7810.000000000002
286,7730.0
287,7650.0
288,7770.0
289,7740.000000000001
290,7830.0
291,7730.0
292,7570.0
293,7720.0
294,7630.0
295,7690.000000000001
296,7259.999999999999
297,7359.999999999999
298,7420.0
299,7440.000000000001
300,7420.0
301,7089.999999999998
302,7960.000000000002
303,7390.000000000001
304,7509.999999999999
305,7550.0
306,7690.000000000001
307,7650.0
308,7920.0
309,7890.000000000001
310,7659.999999999999
311,7690.000000000001
312,7740.000000000001
313,7700.0
314,8070.0
315,8060.000000000002
316,7830.0
317,7800.0
318,7840.000000000001
319,7659.999999999999
320,7680.0
321,7690.000000000001
322,7790.000000000001
323,7400.0
324,7730.0
325,7289.999999999998
326,7480.0
327,7630.0
328,7580.0
329,7530.0
330,7680.0
331,7820.0
332,7720.0
333,7900.0
334,7720.0
335,8130.0
336,7910.000000000002
337,7970.0
338,7870.0
339,7700.0
340,7770.0
341,7520.0
342,7750.0
343,7800.0
344,7380.0
345,7670.0
346,7780.0
347,7580.0
348,7640.000000000001
349,7750.0
350,7790.000000000001
351,7890.000000000001
352,7659.999999999999
353,7700.0
354,7840.000000000001
355,7850.0
356,8120.0
357,7810.000000000002
358,8000.0
359,8030.000000000003
360,8189.999999999998
361,8300.0
362,8260.0
363,8200.0
364,8110.000000000002
365,8100.0
366,8430.0
367,8200.0
368,8120.0
369,7900.0
370,8300.0
371,8020.0
372,8040.000000000001
373,8180.0
374,8090.000000000001
375,8180.0
376,8060.000000000002
377,8060.000000000002
378,8060.000000000002
379,8080.000000000003
380,7900.0
381,8120.0
382,8159.999999999999
383,8219.999999999998
384,8239.999999999998
385,8370.0
386,8219.999999999998
387,8320.0
388,8120.0
389,8260.0
390,8400.0
391,8520.0
392,8159.999999999999
393,8339.999999999998
394,8260.0
395,8289.999999999998
396,8339.999999999998
397,8269.999999999998
398,8269.999999999998
399,8239.999999999998
400,8269.999999999998
401,8480.0
402,8250.0
403,8250.0
404,8360.0
405,8320.0
406,8289.999999999998
407,8260.0
408,8439.999999999998
409,8450.0
410,8389.999999999998
411,8169.999999999997
412,8269.999999999998
413,8289.999999999998
414,8100.0
415,8330.0
416,8150.0
417,8230.0
418,8189.999999999998
419,8439.999999999998
420,8250.0
421,7990.000000000001
422,8090.000000000001
423,8090.000000000001
424,8070.0
425,8239.999999999998
426,8250.0
427,8030.000000000003
428,7760.000000000002
429,8130.0
430,7800.0
431,8159.999999999999
432,8289.999999999998
433,7950.0
434,7940.000000000001
435,7990.000000000001
436,7860.000000000002
437,7760.000000000002
438,7850.0
439,7780.0
440,8239.999999999998
441,8030.000000000003
442,7800.0
443,7780.0
444,7890.000000000001
445,8169.999999999997
446,7920.0
447,8100.0
448,8130.0
449,7970.0
450,7910.000000000002
451,8300.0
452,8219.999999999998
453,8040.000000000001
454,7700.0
455,7860.000000000002
456,7830.0
457,7700.0
458,7720.0
459,7710.000000000002
460,7520.0
461,7570.0
462,7670.0
463,7790.000000000001
464,7740.000000000001
465,7750.0
466,7590.000000000001
467,7690.000000000001
468,7720.0
469,7760.000000000002
470,8080.000000000003
471,7860.000000000002
472,7920.0
473,7920.0
474,8180.0
475,7810.000000000002
476,7940.000000000001
477,7910.000000000002
478,7990.000000000001
479,7900.0
480,7880.0
481,7780.0
482,7950.0
483,7860.000000000002
484,7650.0
485,7790.000000000001
486,7340.000000000001
487,7860.000000000002
488,7450.0
489,7680.0
490,8080.000000000003
491,7800.0
492,7750.0
493,7910.000000000002
494,7720.0
495,7480.0
496,7770.0
497,7570.0
498,7700.0
499,7500.0
500,7120.0
501,7380.0
502,8450.0
503,8180.0
504,7330.0
505,7490.000000000001
506,7370.0
507,7620.0
508,7700.0
509,7700.0
510,7820.0
511,7800.0
512,8130.0
513,7940.000000000001
514,8130.0
515,8239.999999999998
516,7830.0
517,8080.000000000003
518,8120.0
519,7780.0
520,7780.0
521,7740.000000000001
522,7930.0
523,7820.0
524,7980.000000000003
525,7870.0
526,8020.0
527,7970.0
528,7710.000000000002
529,7790.000000000001
530,7800.0
531,7409.999999999999
532,7750.0
533,7880.0
534,8200.0
535,8590.0
536,8189.999999999998
537,8080.000000000003
538,8020.0
539,8100.0
540,8120.0
541,8020.0
542,8080.000000000003
543,8090.000000000001
544,8230.0
545,7970.0
546,8020.0
547,7720.0
548,7740.000000000001
549,7940.000000000001
550,7780.0
551,7459.999999999999
552,7990.000000000001
553,7609.999999999999
554,8020.0
555,7530.0
556,7760.000000000002
557,7720.0
558,7730.0
559,7490.000000000001
560,7760.000000000002
561,7980.000000000003
562,7900.0
563,7880.0
564,7890.000000000001
565,7730.0
566,8060.000000000002
567,7980.000000000003
568,8100.0
569,7960.000000000002
570,7990.000000000001
571,8020.0
572,7860.000000000002
573,8269.999999999998
574,8200.0
575,8300.0
576,8300.0
577,8139.999999999998
578,8239.999999999998
579,8100.0
580,8070.0
581,8389.999999999998
582,8030.000000000003
583,8150.0
584,7970.0
585,8239.999999999998
586,8130.0
587,8040.000000000001
588,8090.000000000001
589,8020.0
590,8070.0
591,8280.0
592,8360.0
593,8330.0
594,8480.0
595,8339.999999999998
596,8489.999999999998
597,8289.999999999998
598,8210.0
599,8380.0
600,8219.999999999998
601,7850.0
602,7870.0
603,7870.0
604,8289.999999999998
605,8040.000000000001
606,7990.000000000001
607,7710.000000000002
608,7990.000000000001
609,8130.0
610,8139.999999999998
611,8250.0
612,7870.0
613,7960.000000000002
614,7910.000000000002
615,8120.0
616,8020.0
617,7880.0
618,8339.999999999998
619,8370.0
620,8389.999999999998
621,8430.0
622,8640.0
623,8400.0
624,8339.999999999998
625,8200.0
626,8489.999999999998
627,8050.0
628,8060.000000000002
629,8250.0
630,8010.000000000002
631,8120.0
632,8320.0
633,8090.000000000001
634,8040.000000000001
635,8030.000000000003
636,7840.000000000001
637,7840.000000000001
638,8030.000000000003
639,7700.0
640,7600.0
641,7740.000000000001
642,7690.000000000001
643,7760.000000000002
644,7570.0
645,7770.0
646,7630.0
647,7670.0
648,7359.999999999999
649,7509.999999999999
650,7420.0
651,7220.0
652,7450.0
653,7470.0
654,7720.0
655,7580.0
656,7780.0
657,7670.0
658,7800.0
659,7640.000000000001
660,7640.000000000001
661,7790.000000000001
662,7440.000000000001
663,7620.0
664,7530.0
665,7590.000000000001
666,7720.0
667,7680.0
668,7730.0
669,7730.0
670,7530.0
671,7700.0
672,7620.0
673,7640.000000000001
674,7720.0
675,7920.0
676,7690.000000000001
677,7810.000000000002
678,8020.0
679,8139.999999999998
680,7890.000000000001
681,8110.000000000002
682,7960.000000000002
683,7960.000000000002
684,8150.0
685,8150.0
686,8110.000000000002
687,8030.000000000003
688,8100.0
689,8350.0
690,8350.0
691,8400.0
692,8050.0
693,8550.0
694,8539.999999999998
695,8740.0
696,8650.0
697,8400.0
698,8410.0
699,8480.0
700,8439.999999999998
701,8250.0
702,8360.0
703,8500.0
704,8310.0
705,8550.0
706,8620.0
707,8610.0
708,8280.0
709,8489.999999999998
710,8580.0
711,8620.0
