time,value
0,82.0
1,87.1
2,87.0
3,88.6
4,86.6
5,88.4
6,88.2
7,89.60000000000002
8,89.5
9,85.8
10,89.0
11,86.6
12,88.4
13,90.1
14,88.7
15,88.6
16,87.5
17,88.6
18,85.8
19,89.7
20,88.6
21,87.6
22,89.8
23,87.7
24,88.0
25,46.7
26,42.0
27,43.5
28,41.5
29,41.3
30,41.5
31,41.3
32,41.3
33,42.4
34,42.9
35,41.3
36,41.4
37,43.6
38,45.1
39,43.0
40,45.9
41,44.9
42,45.5
43,45.6
44,48.5
45,46.1
46,50.1
47,50.0
48,50.3
49,50.8
50,70.7
51,71.5
52,71.7
53,72.7
54,72.1
55,73.3
56,73.4
57,73.4
58,74.5
59,75.6
60,75.2
61,73.6
62,77.5
63,76.3
64,77.60000000000002
65,78.0
66,75.9
67,78.2
68,76.1
69,78.7
70,78.3
71,79.60000000000002
72,79.9
73,78.60000000000002
74,80.5
75,52.0
76,49.7
77,51.4
78,49.2
79,51.8
80,52.90000000000001
81,52.2
82,53.40000000000001
83,53.1
84,54.2
85,53.1
86,54.6
87,56.3
88,52.3
89,55.40000000000001
90,57.6
91,56.6
92,59.6
93,56.7
94,56.6
95,57.7
96,56.3
97,58.9
98,59.2
99,59.7
100,82.0
101,87.1
102,87.0
103,88.6
104,86.6
105,88.4
106,88.2
107,89.60000000000002
108,89.5
109,85.8
110,89.0
111,86.6
112,88.4
113,90.1
114,88.7
115,88.6
116,87.5
117,88.6
118,85.8
119,89.7
120,88.6
121,87.6
122,89.8
123,87.7
124,88.0
125,46.7
126,42.0
127,43.5
128,41.5
129,41.3
130,41.5
131,41.3
132,41.3
133,42.4
134,42.9
135,41.3
136,41.4
137,43.6
138,45.1
139,43.0
140,45.9
141,44.9
142,45.5
143,45.6
144,48.5
145,46.1
146,50.1
147,50.0
148,50.3
149,50.8
150,70.7
151,71.5
152,71.7
153,72.7
154,72.1
155,73.3
156,73.4
157,73.4
158,74.5
159,75.6
160,75.2
161,73.6
162,77.5
163,76.3
164,77.60000000000002
165,78.0
166,75.9
167,78.2
168,76.1
169,78.7
170,78.3
